Timestamp,Event
2025-07-08_13-12-25,Photo captured: logs/photo_2025-07-08_13-12-25.jpg
2025-07-08_13-12-26,Photo captured: logs/photo_2025-07-08_13-12-26.jpg
2025-07-08_13-16-38,Photo captured: logs/photo_2025-07-08_13-16-38.jpg
2025-07-08_13-19-30,Photo captured: logs/photo_2025-07-08_13-19-30.jpg
2025-07-08_13-22-01,Photo captured: logs/photo_2025-07-08_13-22-01.jpg
2025-07-08_13-22-03,Photo captured: logs/photo_2025-07-08_13-22-03.jpg
2025-07-08_13-22-05,Photo captured: logs/photo_2025-07-08_13-22-05.jpg
2025-07-08_13-22-07,Photo captured: logs/photo_2025-07-08_13-22-07.jpg
2025-07-08_13-22-09,Photo captured: logs/photo_2025-07-08_13-22-09.jpg
2025-07-08_13-22-11,Photo captured: logs/photo_2025-07-08_13-22-11.jpg
2025-07-08_13-28-14,ROI 1 photo captured: logs/photo_2025-07-08_13-28-14_roi1.jpg
2025-07-08_13-28-20,ROI 1 photo captured: logs/photo_2025-07-08_13-28-20_roi1.jpg
2025-07-08_13-28-20,ROI 2 photo captured: logs/photo_2025-07-08_13-28-20_roi2.jpg
2025-07-08_13-28-27,Full-frame photo captured: logs/photo_2025-07-08_13-28-27.jpg
2025-07-08_13-28-33,Full-frame photo captured: logs/photo_2025-07-08_13-28-33.jpg
2025-07-08_13-28-34,Full-frame photo captured: logs/photo_2025-07-08_13-28-34.jpg
2025-07-08_13-28-35,Full-frame photo captured: logs/photo_2025-07-08_13-28-35.jpg
2025-07-08_13-28-36,Full-frame photo captured: logs/photo_2025-07-08_13-28-36.jpg
2025-07-08_13-28-51,ROI 1 photo captured: logs/photo_2025-07-08_13-28-51_roi1.jpg
2025-07-08_13-28-51,ROI 2 photo captured: logs/photo_2025-07-08_13-28-51_roi2.jpg
2025-07-08_13-28-52,ROI 1 photo captured: logs/photo_2025-07-08_13-28-52_roi1.jpg
2025-07-08_13-28-52,ROI 2 photo captured: logs/photo_2025-07-08_13-28-52_roi2.jpg
2025-07-08_13-28-53,ROI 1 photo captured: logs/photo_2025-07-08_13-28-53_roi1.jpg
2025-07-08_13-28-53,ROI 2 photo captured: logs/photo_2025-07-08_13-28-53_roi2.jpg
2025-07-08_13-28-54,ROI 1 photo captured: logs/photo_2025-07-08_13-28-54_roi1.jpg
2025-07-08_13-28-54,ROI 2 photo captured: logs/photo_2025-07-08_13-28-54_roi2.jpg
2025-07-08_13-28-55,ROI 1 photo captured: logs/photo_2025-07-08_13-28-55_roi1.jpg
2025-07-08_13-28-55,ROI 2 photo captured: logs/photo_2025-07-08_13-28-55_roi2.jpg
2025-07-08_13-33-15,Full-frame photo captured: logs/photo_2025-07-08_13-33-15.jpg
2025-07-08_13-33-32,Full-frame photo captured: logs/photo_2025-07-08_13-33-32.jpg
2025-07-08_13-33-33,Full-frame photo captured: logs/photo_2025-07-08_13-33-33.jpg
2025-07-08_13-33-36,Full-frame photo captured: logs/photo_2025-07-08_13-33-36.jpg
2025-07-08_13-33-37,Full-frame photo captured: logs/photo_2025-07-08_13-33-37.jpg
2025-07-08_13-33-38,ROI 1 photo captured: logs/photo_2025-07-08_13-33-38_roi1.jpg
2025-07-08_13-33-39,ROI 1 photo captured: logs/photo_2025-07-08_13-33-39_roi1.jpg
